X,plot,treat,background,focal,num_comp,num_seeds,fruit_date,Tr,N_acwr,N_femi,N_homu,N_pler,N_saco,N_urli,Log_Seeds,Log_Comp,IsD,IsW
20,411,D,FEMI,SACO,45,28,1-Jun,2,0,45,0,0,0,0,3.332204510175204,3.8066624897703196,TRUE,FALSE
21,411,D,FEMI,SACO,35,12,1-Jun,2,0,35,0,0,0,0,2.4849066497880004,3.5553480614894135,TRUE,FALSE
22,412,D,SACO,SACO,90,12,1-Jun,2,0,0,0,0,90,0,2.4849066497880004,4.499809670330265,TRUE,FALSE
23,412,D,SACO,SACO,90,28,1-Jun,2,0,0,0,0,90,0,3.332204510175204,4.499809670330265,TRUE,FALSE
24,412,D,SACO,SACO,90,12,1-Jun,2,0,0,0,0,90,0,2.4849066497880004,4.499809670330265,TRUE,FALSE
25,412,D,SACO,SACO,90,12,1-Jun,2,0,0,0,0,90,0,2.4849066497880004,4.499809670330265,TRUE,FALSE
26,412,D,SACO,SACO,90,44,1-Jun,2,0,0,0,0,90,0,3.784189633918261,4.499809670330265,TRUE,FALSE
27,413,D,HOMU,SACO,24,152,1-Jun,2,0,0,24,0,0,0,5.0238805208462765,3.1780538303479458,TRUE,FALSE
28,413,D,HOMU,SACO,20,120,1-Jun,2,0,0,20,0,0,0,4.787491742782046,2.995732273553991,TRUE,FALSE
29,414,D,PLER,SACO,100,36,1-Jun,2,0,0,0,100,0,0,3.58351893845611,4.605170185988092,TRUE,FALSE
30,414,D,PLER,SACO,55,52,1-Jun,2,0,0,0,55,0,0,3.9512437185814275,4.007333185232471,TRUE,FALSE
31,416,W,SACO,SACO,100,52,1-Jun,1,0,0,0,0,100,0,3.9512437185814275,4.605170185988092,FALSE,TRUE
32,416,W,SACO,SACO,100,92,1-Jun,1,0,0,0,0,100,0,4.5217885770490405,4.605170185988092,FALSE,TRUE
33,416,W,SACO,SACO,100,316,1-Jun,1,0,0,0,0,100,0,5.755742213586912,4.605170185988092,FALSE,TRUE
34,416,W,SACO,SACO,100,52,1-Jun,1,0,0,0,0,100,0,3.9512437185814275,4.605170185988092,FALSE,TRUE
35,416,W,SACO,SACO,100,160,1-Jun,1,0,0,0,0,100,0,5.075173815233827,4.605170185988092,FALSE,TRUE
36,416,W,SACO,SACO,100,92,1-Jun,1,0,0,0,0,100,0,4.5217885770490405,4.605170185988092,FALSE,TRUE
37,416,W,SACO,SACO,100,44,1-Jun,1,0,0,0,0,100,0,3.784189633918261,4.605170185988092,FALSE,TRUE
38,416,W,SACO,SACO,100,52,1-Jun,1,0,0,0,0,100,0,3.9512437185814275,4.605170185988092,FALSE,TRUE
39,416,W,SACO,SACO,100,36,1-Jun,1,0,0,0,0,100,0,3.58351893845611,4.605170185988092,FALSE,TRUE
40,416,W,SACO,SACO,35,92,1-Jun,1,0,0,0,0,35,0,4.5217885770490405,3.5553480614894135,FALSE,TRUE
41,416,W,SACO,SACO,35,52,1-Jun,1,0,0,0,0,35,0,3.9512437185814275,3.5553480614894135,FALSE,TRUE
42,416,W,SACO,SACO,35,64,1-Jun,1,0,0,0,0,35,0,4.1588830833596715,3.5553480614894135,FALSE,TRUE
43,416,W,SACO,SACO,35,28,1-Jun,1,0,0,0,0,35,0,3.332204510175204,3.5553480614894135,FALSE,TRUE
44,416,W,SACO,SACO,35,28,1-Jun,1,0,0,0,0,35,0,3.332204510175204,3.5553480614894135,FALSE,TRUE
45,418,W,FEMI,SACO,17,36,1-Jun,1,0,17,0,0,0,0,3.58351893845611,2.833213344056216,FALSE,TRUE
46,419,W,PLER,SACO,60,36,25-May,1,0,0,0,60,0,0,3.58351893845611,4.0943445622221,FALSE,TRUE
47,419,W,PLER,SACO,90,52,1-Jun,1,0,0,0,90,0,0,3.9512437185814275,4.499809670330265,FALSE,TRUE
48,421,D,SACO,SACO,80,104,19-Jun,2,0,0,0,0,80,0,4.6443908991413725,4.382026634673881,TRUE,FALSE
49,421,D,SACO,SACO,80,3520,19-Jun,2,0,0,0,0,80,0,8.166216268592143,4.382026634673881,TRUE,FALSE
50,421,D,SACO,SACO,80,916,19-Jun,2,0,0,0,0,80,0,6.82001636467413,4.382026634673881,TRUE,FALSE
51,421,D,HOMU,SACO,13,20,1-Jun,2,0,0,13,0,0,0,2.995732273553991,2.5649493574615367,TRUE,FALSE
52,421,D,HOMU,SACO,6,36,1-Jun,2,0,0,6,0,0,0,3.58351893845611,1.791759469228055,TRUE,FALSE
53,421,D,HOMU,SACO,7,36,1-Jun,2,0,0,7,0,0,0,3.58351893845611,1.9459101490553132,TRUE,FALSE
54,421,D,HOMU,SACO,10,64,1-Jun,2,0,0,10,0,0,0,4.1588830833596715,2.302585092994046,TRUE,FALSE
55,421,D,HOMU,SACO,10,76,1-Jun,2,0,0,10,0,0,0,4.330733340286331,2.302585092994046,TRUE,FALSE
56,421,D,HOMU,SACO,6,136,1-Jun,2,0,0,6,0,0,0,4.912654885736052,1.791759469228055,TRUE,FALSE
57,424,D,ACWR,SACO,8,352,1-Jun,2,8,0,0,0,0,0,5.863631175598097,2.0794415416798357,TRUE,FALSE
58,424,D,ACWR,SACO,10,728,1-Jun,2,10,0,0,0,0,0,6.590301048196686,2.302585092994046,TRUE,FALSE
59,424,D,ACWR,SACO,8,260,6/1/19,2,8,0,0,0,0,0,5.560681631015528,2.0794415416798357,TRUE,FALSE
60,425,D,FEMI,SACO,120,12,1-Jun,2,0,120,0,0,0,0,2.4849066497880004,4.787491742782046,TRUE,FALSE
61,425,D,FEMI,SACO,15,428,1-Jun,2,0,15,0,0,0,0,6.059123195581797,2.70805020110221,TRUE,FALSE
62,426,W,PLER,SACO,29,36,1-Jun,1,0,0,0,29,0,0,3.58351893845611,3.367295829986474,FALSE,TRUE
63,426,W,PLER,SACO,10,28,1-Jun,1,0,0,0,10,0,0,3.332204510175204,2.302585092994046,FALSE,TRUE
64,427,W,HOMU,SACO,4,76,1-Jun,1,0,0,4,0,0,0,4.330733340286331,1.3862943611198906,FALSE,TRUE
